# perf report for bench-vcdiff (case01-encode)
# generated 2026-04-28T11:05:35+10:00
# toolchain: leanprover/lean4:v4.29.0-rc6
# uname: Linux geralt 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux

## Top 30 (flat, self time)
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 126K of event 'cycles:P'
# Event count (approx.): 143766668286
#
# Overhead       Samples  Symbol                                                                                                                                                       IPC   [IPC Coverage]
# ........  ............  ...........................................................................................................................................................  ....................
#
    20.51%         25986  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_findBestMatchRec                                                                                               -      -            
    15.99%         20275  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_extendForward                                                                                                  -      -            
    12.37%         15701  [.] lean_dec_ref_cold                                                                                                                                        -      -            
    11.65%         14763  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_extendBackward                                                                                                 -      -            
     8.94%         11322  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_extendMatch                                                                                                    -      -            
     4.24%          5347  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00LeanBdiff_Vcdiff_Encoder_hashBytes_spec__0___redArg         -      -            
     3.92%          4979  [.] mi_free                                                                                                                                                  -      -            
     2.82%          3571  [.] mi_malloc_small                                                                                                                                          -      -            
     1.56%          1978  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_generateInstructionsLoop                                                                                       -      -            
     1.38%          1742  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00LeanBdiff_Vcdiff_Encoder_adler32_spec__0___redArg           -      -            
     1.08%          1385  [.] lean_copy_expand_array                                                                                                                                   -      -            
     1.03%          1304  [.] lean_inc_heartbeat                                                                                                                                       -      -            
